;active;udf_depotId;Customer No;Name;Street name;Door number;areaDescription;Zip code;City;x;y
udf_depotId : T100 ;;;;;;;;;;;
;True;T100;10001200;Arla Foods amba;Sønderhøj;14;;8260;Viby J;10.157532;56.119802
;True;T100;10515;Min Købmand Frederiks;Søndergade;10;Frederiks;7470;Karup;9.253505;56.33899
;True;T100;10545;Dagli' Brugsen Viborg;Gammel Ålborgvej;72;;8800;Viborg;9.416325;56.46451
;True;T100;10598;Østjysk Mælk A/S;Blomstervej;5;;8381;Tilst;10.126109;56.182954
;True;T100;10650;Fakta Vestergade Silkeborg;Vestergade;53;;8600;Silkeborg;9.541141;56.167275
;True;T100;10883;Supergros Herning;Mørupvej;8B;;7400;Herning;8.945278;56.128611
;True;T100;10914;Netto Ringkøbing;Skolevænget;15;;6950;Ringkøbing;8.242585;56.092505
;True;T100;11091;Netto Holstebro;Lavhedevej;54;;7500;Holstebro;8.61589;56.375445
;True;T100;11113;Bilka Holstebro;Nyholmvej;20;;7500;Holstebro;8.621231;56.37803
;True;T100;11220;Terminal Vest Køl;Axel Gruhnsvej;7;;8270;Højbjerg;10.16449;56.11254
;True;T100;11332;Føtex Viborg;Gravene;37-39;;8800;Viborg;9.407811;56.452086
;True;T100;11381;LUKKET Mejeriforeningen;Sønderhøj 46 22;;;8260;Viby J;10.162732;56.123199
;True;T100;11459;KT Food Fårup;Randersvej;147;Gundestrup;8990;Fårup;9.852777;56.55802
;True;T100;11582;Fakta Arden;Skovvej;2;;9510;Arden;9.858333;56.76954
;True;T100;11618;Fakta Åstrupvej Hjørring;Åstrupvej;1;;9800;Hjørring;9.978061;57.45575
;True;T100;11622;Fakta Støvring;Jernbanegade;5;;9530;Støvring;9.838335;56.89206
;True;T100;11666;Frellsen Kaffe;Tunøvej;9B;;8940;Randers Sv;10.04434;56.4231
;True;T100;11736;Fakta Hurup Thy;Bredgade;102;;7760;Hurup Thy;8.421105;56.749295
;True;T100;11741;Netto Ikast;Eli Christensen;3;;7430;Ikast;9.145331;56.139305
;True;T100;11762;Spar Jebjerg;Vestergade;21;JEBJERG;7870;Roslev;9.010828;56.669075
;True;T100;11777;Netto Nørresundby;Lindholm Nærbanevej;5;;9400;Nørresundby;9.904453;57.066837
;True;T100;11854;Fakta Vestergade Holstebro;Vestergade;16;;7500;Holstebro;8.616089;56.358113
;True;T100;11855;Fakta Ålestrup;Nørreled;6;;9620;Ålestrup;9.490752;56.69485
;True;T100;11943;Coolex Automater;Sønderskovvej;7;;8362;Hørning;10.029634;56.079917
;True;T100;11946;Fakta Sunds;Sunds Hovedgade;58-60;SUNDS;7451;Sunds;9.015935;56.20465
;True;T100;11961;Kvickly Bruuns Galleri;M.P. Bruuns Gade;25;;8000;Aarhus C;10.20319;56.149185
;True;T100;12382;LokalBrugsen Rødding;Kirkegade;21;RØDDING;8830;Tjele;9.504158;56.500081
;True;T100;12385;Dagli' Brugsen Lem;Bredgade;100;LEM;6940;Lem St.;8.393846;56.026261
;True;T100;12386;Dagli' Brugsen Rødding;Borgergade;19;RØDDING;7860;Spøttrup;8.80914;56.645255
;True;T100;12542;MENY Herning;Dæmningen;17;HERNING;7400;Herning;8.95763;56.132329
;True;T100;12615;Kvickly Åbyhøj;Haslevej;3;Åbyhøjcentret;8230;Åbyhøj;10.165365;56.15605
;True;T100;12625;Spar Lønstrup;Strandvejen;82;Lønstrup;9800;Hjørring;9.796927;57.471352
;True;T100;12671;Spar Ålbæk;Skagensvej;29;ÅLBÆK;9982;Ålbæk;10.412601;57.592995
;True;T100;12692;Netto 547;Udbyhøjvej;87;RANDERS;8930;Randers Nø;10.067423;56.472455
;True;T100;12695;Fakta Mundelstrup;Haurumsvej;8;;8381;Tilst;10.106021;56.187922
;True;T100;12696;Fakta Skanderborg;Kildevej;3;;8660;Skanderborg;9.984195;56.063815
;True;T100;12701;Fakta Nørresundby;Forbindelsesvejen;148;;9400;Nørresundby;9.94528;57.069914
;True;T100;12716;Spar Gandrup;Borgergade;84;;9362;Gandrup;10.181935;57.06191
;True;T100;12734;Fakta Ålborg  Ø;Saltumvej;1;ÅLBORG;9220;Ålborg Øst;10.009698;57.03425
;True;T100;12782;Fakta Århus;Viborgvej;155-159;;8210;Aarhus V;10.162944;56.167725
;True;T100;12815;Spar Øster Brønderselv;Elmevej;62;ØSTER BRØNDERSLEV;9700;Brønderslev;9.9966;57.24889
;True;T100;13109;Fakta Åbyhøj;Silkeborgvej;340;;8230;Åbyhøj;10.146573;56.153839
;True;T100;13164;Dagli' Brugsen Lime;Limegårdsvej;4;LIME;8544;Mørke;10.247095;56.38435
;True;T100;13255;Fakta Glesborg;Torvet;6;;8585;Glesborg;10.727115;56.479015
;True;T100;13261;Superen Skallerup Klit;Nordre Klitvej;21;;9800;Hjørring;9.83997;57.49337
;True;T100;13269;Min Købmand Tylstrup;Luneborgvej;78;;9382;Tylstrup;9.944075;57.19681
;True;T100;13281;Min Købmand Lemvig;Industrivej;1;;7620;Lemvig;8.30365;56.54432
;True;T100;13285;Min Købmand Jerslev J;Borgergade;1;;9740;Jerslev;10.092055;57.28495
;True;T100;13288;Netto Lemvig;Skous Gade;1;;7620;Lemvig;8.310794;56.551641
;True;T100;13295;Netto Jægergårdsgade Århus;Jægergårdsgade;64;;8000;Aarhus C;10.20073;56.148175
;True;T100;13300;Fakta Langå;Bredgade;24;;8870;Langå;9.89552;56.390075
;True;T100;13303;Min Købmand Nykøbing M;Fjordgade;6;;7900;Nykøbing Mors;8.86476;56.79613
;True;T100;13304;Min Købmand  Nykøbing M;Fælledvej;17;;7900;Nykøbing Mors;8.86296;56.79961
;True;T100;13305;LUKKET Min Købmand Silkeborg;Balle Bygade;2;;8600;Silkeborg;9.522446;56.196353
;True;T100;13306;Min Købmand Fjerritslev;Vestergade;20;;9690;Fjerritslev;9.26193;57.08835
;True;T100;13308;Min Købmand Vester Hornum;Hovedgaden;60;Vester Hornum;9640;Farsø;9.360045;56.835485
;True;T100;13313;Min Købmand Havndal;Kronborgvej;40;Dalbyover;8970;Havndal;10.203754;56.618026
;True;T100;13316;Købmandsgården Hvidbjerg Karby;Næssundvej;358;;7960;Karby;8.59086;56.746261
;True;T100;13318;Min Købmand Blenstrup;Vesterbygade;16;Blenstrup;9520;Skørping;10.008094;56.879468
;True;T100;13321;LUKKET Letkøb Aggersund;Ullerupvej;51;Aggersund;9670;Løgstør;9.2799;57.005039
;True;T100;13352;Spar Årestrupvej Ålborg;Årestrupvej;2;;9000;Ålborg;9.966912;57.041883
;True;T100;13365;Min Købmand Øster Assels;Asselsvej;184;Assels;7990;Øster Assels;8.695445;56.70223
;True;T100;13366;Merko Bedsted;Hedegårdsvej;24;;7755;Bedsted;8.36397;56.84624
;True;T100;13374;Min Købmand Vammen;Hobrovej;2;Vammen;8830;Tjele;9.575215;56.528775
;True;T100;13378;Min Købmand Ulstrup;Hovedgaden;24;;8860;Ulstrup;9.79271;56.39018
;True;T100;13380;Min Købmand Nr.Nissum;Seminarievej;9;Nr. Nissum;7620;Lemvig;8.41785;56.549723
;True;T100;13381;LUKKET Min Købmand Ulfborg;Holmegade;18;;6990;Ulfborg;8.322003;56.27396
;True;T100;13397;Min Købmand Vils;Nørrealle;1;;7980;Vils;8.727835;56.764435
;True;T100;13406;Min Købmand Thorsminde;Vesterhavsgade;8;Thorsminde;6990;Ulfborg;8.12103;56.374176
;True;T100;13410;Min Købmand Sennels;Sennelsvej;81;Sennels;7700;Thisted;8.794007;56.965408
;True;T100;13412;Vitten;Vittenvej 81;;;8382;Hinnerup;10.005389;56.290616
