Violation;status;TransportationDate;order No;Wave;order_status_name;order_kind;ReasonCode;PickUp;Customer;SAP Route;Route;Shipment;Customer No;udf_sequencenumber;Customer Name;Zipcode;City;TW From;TW Till;ETA;PromisedTime;RCE;Distance;udf_DeleteFromDB
;;09-11;2046360252;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH350;DKH350;12083612;52512;;AB Catering Holstebro;7500;Holstebro;19:00;01:30;22:09;01:00;19.06;89.75;
;;09-11;2046805887;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH360;DKH361;12083614;10598;;Østjysk Mælk A/S;8381;Tilst;22:00;03:50;22:49;03:20;13.52;65.39;
;;09-11;929677;1;PlanningComplete;Delivery;1;T100;Hobro Mejericenter;DKH360;DKH360;12083613;72765;1;BC Catering Skanderborg;8660;Skanderborg;19:00;00:00;22:59;23:30;41.02;78.76;
;;09-11;2046556131;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH360;DKH361;12083614;21056;;Inco CC Århus A/S;8381;Tilst;00:01;04:00;23:03;03:30;2.00;65.39;
;;09-11;2046855292;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH350;DKH350;12083612;52233;;BC Catering Herning;7400;Herning;19:00;23:30;23:21;23:30;13.06;92.45;
;;09-11;929849;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH010;DKH010;12083569;24639;1;Skals Skole;8832;Skals;00:01;12:30;23:37;12:00;0.52;28.86;
;;09-11;930255;2;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH360;DKH360;12083613;72765;2;BC Catering Skanderborg;8660;Skanderborg;19:00;00:00;23:38;23:30;7.16;78.76;
;;09-11;929850;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH010;DKH010;12083569;24456;2;Hem Skole;7800;Skive;00:01;12:30;00:08;12:00;0.52;56.15;
;;09-11;929851;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH010;DKH010;12083569;24467;3;Vestsalling Skole Afd. Balling;7860;Spøttrup;00:01;12:30;00:14;12:00;0.52;61.68;
;;09-11;929852;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH010;DKH010;12083569;24975;4;Vestsalling Skole Afd. Rødding;7860;Spøttrup;00:01;12:30;00:23;12:00;0.52;67.42;
;;09-11;929853;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH010;DKH010;12083569;27118;5;Vestsalling skole Afd. Lem;7860;Spøttrup;00:01;11:30;00:31;11:00;0.52;66.32;
;;09-11;929854;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH010;DKH010;12083569;24465;6;Oddense Skole;7860;Spøttrup;00:01;12:30;00:46;12:00;0.52;63.29;
;;09-11;929855;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH010;DKH010;12083569;24470;7;Jebjerg Skole;7870;Roslev;00:01;12:30;00:58;12:00;0.52;57.59;
;;09-11;929856;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH010;DKH010;12083569;24469;8;Breum Skole;7870;Roslev;00:01;12:30;01:05;12:00;0.52;53.28;
;;09-11;929857;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH010;DKH010;12083569;24468;9;Roslev Skole;7870;Roslev;00:01;12:30;01:16;12:00;0.52;58.30;
;;09-11;929858;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH010;DKH010;12083569;24471;10;Lødderup Friskole;7900;Nykøbing M;00:01;12:30;01:38;12:00;0.52;81.69;
;;09-11;929691;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH010;DKH010;12083569;24475;12;Bjergby Friskole;7950;Erslev;00:00;12:00;01:53;23:00;0.52;93.94;
;;09-11;929692;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH010;DKH010;12083569;24476;13;Sundby Friskole;7950;Erslev;00:00;12:00;02:00;23:00;0.52;94.13;
;;09-11;929693;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH010;DKH010;12083569;24435;14;Tilsted Skole;7700;Thisted;00:00;12:00;02:12;23:00;0.52;108.59;
;;09-11;929775;2;PlanningComplete;Delivery;1;T100;Hobro Mejericenter;DKH363;DKH363;12083615;23105;1;AB Catering Hinnerup;8382;Hinnerup;21:00;04:00;02:14;03:30;18.74;57.60;
;;09-11;929694;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH010;DKH010;12083569;24438;15;Tingstrup Skole;7700;Thisted;00:00;12:00;02:18;23:00;0.52;107.30;
;;09-11;929925;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH120;DKH120;12083578;13422;1;Min Købmand Ulbjerg;8832;Skals;00:01;03:15;02:22;02:45;2.16;27.91;
;;09-11;930188;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH141;DKH141;12083607;21920;1;Min Købmand Møldrup;9632;Møldrup;00:01;04:30;02:24;04:00;1.52;18.44;
;;09-11;930260;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH900;DKH900;12083620;790;1;Aldi Kolding K.S.;6000;Kolding;01:30;02:15;02:28;01:45;18.32;160.22;
;;09-11;929695;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH010;DKH010;12083569;24432;16;Østre Skole;7700;Thisted;00:00;12:00;02:30;23:00;0.52;103.89;
;;09-11;930094;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH020;DKH020;12083595;50481;1;Superbrugsen Ålestrup;9620;Ålestrup;00:01;04:30;02:32;04:00;4.00;22.89;
;;09-11;929793;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH110;DKH110;12083562;23458;1;DagliBrugsen Rødkærsbro;8840;Rødkærsbro;00:01;03:15;02:33;02:45;2.00;45.34;
